year,mfr,division,carline,mfrid,index,displ,cyl,trans,citympg,highwaympg,combmpg,aspir,trans2,gears,drivesys,fuel,class,car_truck,fe_rating,ghg_rating,smog_rating
2018,Ferrari,"Ferrari North America, Inc.",GTC4Lusso T,FEX,162,3.9,8,Auto(AM7),15,21,17,TC,AM,7,R,GPR,Minicompact Cars,car,3,3,3
2018,Volkswagen Group of,Audi,A3,VGA,83,2,4,Auto(AM-S7),26,35,29,TC,AMS,7,F,G,Subcompact Cars,car,6,6,7
2018,Volkswagen Group of,Audi,A3 Cabriolet,VGA,84,2,4,Auto(AM-S7),25,33,28,TC,AMS,7,F,G,Subcompact Cars,car,6,6,7
2018,Volkswagen Group of,Audi,A3 Cabriolet quattro,VGA,49,2,4,Auto(AM-S6),22,30,25,TC,AMS,6,A,G,Subcompact Cars,car,5,5,7
2018,Volkswagen Group of,Audi,A5 Cabriolet quattro,VGA,3,2,4,Auto(AM-S7),24,34,27,TC,AMS,7,A,GP,Subcompact Cars,car,6,6,5
2018,Volkswagen Group of,Audi,A5 quattro,VGA,5,2,4,Auto(AM-S7),24,34,27,TC,AMS,7,A,GP,Subcompact Cars,car,6,6,5
2018,Volkswagen Group of,Audi,A5 quattro,VGA,16,2,4,Manual(M6),24,33,27,TC,M,6,A,GP,Subcompact Cars,car,6,6,3
2018,Volkswagen Group of,Audi,RS3,VGA,25,2.5,5,Auto(AM-S7),19,28,22,TC,AMS,7,A,GP,Subcompact Cars,car,4,4,3
2018,Volkswagen Group of,Audi,S3,VGA,59,2,4,Auto(AM-S7),22,28,25,TC,AMS,7,A,GP,Subcompact Cars,car,5,5,3
2018,Volkswagen Group of,Audi,S5,VGA,8,3,6,Auto(AM-S8),21,30,24,TC,AMS,8,A,GP,Subcompact Cars,car,5,5,5
2018,Volkswagen Group of,Audi,S5 Cabriolet,VGA,10,3,6,Auto(AM-S8),20,29,23,TC,AMS,8,A,GP,Subcompact Cars,car,5,5,5
